"id","printer_id","color","head","slot_serial","installed_datetime","replaced_datetime","remounted_datetime","remounted_color","remounted_head"
32859,545,3,"0","278769-02","2020-11-25 10:15:27+01","2021-02-28 08:53:51+01",NULL,NULL,NULL
42899,545,3,"0","280033-09","2021-03-03 19:24:27+01","2021-08-24 17:49:45+02",NULL,NULL,NULL
84100,545,3,"0","277220-04","2021-08-24 17:49:45+02","2022-03-05 20:42:03+01",NULL,NULL,NULL
5641,545,3,"1","261381-02","2019-06-20 14:49:20+02","2019-12-30 21:58:41+01",NULL,NULL,NULL
5622,545,3,"1","269725-08","2019-12-30 21:58:41+01","2020-07-08 14:46:37+02",NULL,NULL,NULL
5594,545,3,"1","272681-04","2020-07-08 14:46:37+02","2020-12-04 18:23:04+01",NULL,NULL,NULL
35321,545,3,"1","278143-06","2020-12-04 18:23:04+01","2021-03-17 14:02:01+01",NULL,NULL,NULL
44349,545,3,"1","278734-02","2021-03-17 15:33:47+01","2022-03-08 10:46:20+01",NULL,NULL,NULL
5632,545,3,"2","262394-09","2019-10-30 15:55:27+01","2020-07-08 15:18:36+02",NULL,NULL,NULL
35320,545,3,"2","278879-08","2020-12-04 18:23:04+01","2022-01-31 15:56:57+01",NULL,NULL,NULL
5642,545,3,"3","261846-06","2019-06-20 14:49:18+02","2020-05-21 16:08:44+02",NULL,NULL,NULL
5601,545,3,"3","263444-01","2020-05-21 16:08:44+02","2020-07-08 14:46:38+02",NULL,NULL,NULL
5593,545,3,"3","273796-05","2020-07-08 14:46:38+02","2020-10-02 22:00:21+02",NULL,NULL,NULL
35319,545,3,"3","278775-09","2020-12-04 18:23:04+01","2022-01-31 15:56:59+01",NULL,NULL,NULL
5656,545,3,"4","261985-03","2019-06-19 15:44:18+02","2019-10-30 15:52:47+01",NULL,NULL,NULL
5635,545,3,"4","263624-02","2019-10-30 15:52:47+01","2020-01-01 00:28:24+01",NULL,NULL,NULL
5610,545,3,"4","272528-04","2020-03-04 10:39:05+01","2020-07-08 14:46:38+02",NULL,NULL,NULL
5592,545,3,"4","273112-10","2020-07-08 14:46:38+02","2020-09-27 12:31:28+02",NULL,NULL,NULL
35318,545,3,"4","277751-08","2020-12-04 18:47:32+01","2021-03-03 19:24:27+01",NULL,NULL,NULL
42898,545,3,"4","278532-02","2021-03-03 19:24:27+01","2022-03-08 10:45:24+01",NULL,NULL,NULL
5659,545,3,"5","261381-05","2019-06-19 15:44:01+02","2019-12-02 06:50:51+01",NULL,NULL,NULL
5627,545,3,"5","262677-10","2019-12-02 06:50:51+01","2020-06-10 10:52:07+02",NULL,NULL,NULL
5597,545,3,"5","274870-09","2020-06-10 10:52:07+02","2020-12-04 18:47:32+01",NULL,NULL,NULL
5658,545,3,"6","261378-09","2019-06-19 15:44:01+02","2019-10-30 15:52:47+01",NULL,NULL,NULL
5634,545,3,"6","262399-06","2019-10-30 15:52:47+01","2020-03-04 10:39:05+01",NULL,NULL,NULL
5604,545,3,"6","271856-10","2020-05-02 12:43:11+02","2020-11-25 10:20:40+01",NULL,NULL,NULL
32858,545,3,"6","274425-10","2020-11-25 10:20:40+01","2021-03-03 19:24:22+01",NULL,NULL,NULL
42901,545,3,"6","279641-02","2021-03-03 19:24:22+01","2021-04-03 06:23:22+02",NULL,NULL,NULL
5640,545,3,"7","261846-02","2019-06-21 09:14:13+02","2019-10-30 15:52:47+01",NULL,NULL,NULL
5647,545,4,"0","261196-02","2019-06-19 15:49:21+02","2020-09-15 16:16:40+02",NULL,NULL,NULL
26523,545,4,"0","274791-08","2020-09-15 16:16:40+02","2020-12-05 09:50:10+01",NULL,NULL,NULL
5644,545,4,"1","261318-02","2019-06-19 16:01:12+02","2020-09-15 16:16:36+02",NULL,NULL,NULL
26529,545,4,"1","274904-08","2020-09-15 16:16:36+02","2021-02-02 12:01:58+01",NULL,NULL,NULL
5646,545,4,"2","261630-07","2019-06-19 15:51:00+02","2020-09-15 16:16:36+02",NULL,NULL,NULL
26528,545,4,"2","274907-04","2020-09-15 16:16:36+02","2021-02-02 11:25:13+01",NULL,NULL,NULL
5648,545,4,"3","261547-02","2019-06-19 15:49:15+02","2020-07-04 13:59:44+02",NULL,NULL,NULL
5595,545,4,"3","263372-02","2020-07-04 13:59:44+02","2020-09-15 16:16:36+02",NULL,NULL,NULL
5654,545,4,"4","261865-04","2019-06-19 15:46:12+02","2020-09-15 16:16:36+02",NULL,NULL,NULL
5599,545,4,"5","261091-07","2020-05-24 19:40:58+02","2020-09-15 16:16:36+02",NULL,NULL,NULL
5625,545,4,"6","260782-07","2019-12-20 20:25:48+01","2020-09-15 16:16:36+02",NULL,NULL,NULL
84098,545,4,"6","281057-02","2021-08-24 18:32:33+02","2021-12-14 15:18:23+01",NULL,NULL,NULL
5621,545,4,"7","261861-03","2019-12-31 14:39:33+01","2020-09-16 09:41:10+02",NULL,NULL,NULL
5693,546,0,"0","260875-02","2019-06-17 14:38:14+02","2021-01-12 06:58:39+01",NULL,NULL,NULL
5719,546,0,"1","261091-04","2019-06-17 14:38:01+02","2020-10-29 14:31:25+01",NULL,NULL,NULL
5698,546,0,"6","261203-04","2019-06-17 14:38:02+02","2020-10-29 14:31:25+01",NULL,NULL,NULL
5716,546,1,"0","261382-07","2019-06-17 14:38:01+02","2022-01-07 07:05:10+01",NULL,NULL,NULL
5715,546,1,"1","261381-01","2019-06-17 14:38:01+02","2020-10-29 16:17:35+01",NULL,NULL,NULL
5712,546,1,"6","261379-07","2019-06-17 14:38:01+02","2020-10-29 14:31:25+01",NULL,NULL,NULL
5710,546,2,"0","261313-04","2019-06-17 14:38:01+02","2020-10-29 14:27:59+01",NULL,NULL,NULL
5707,546,2,"3","261208-05","2019-06-17 14:38:01+02","2019-10-04 03:36:59+02",NULL,NULL,NULL
5705,546,2,"6","261861-04","2019-06-17 14:38:01+02","2020-01-18 17:14:10+01",NULL,NULL,NULL
5704,546,3,"0","261427-08","2019-06-17 14:38:01+02","2020-07-04 07:56:27+02",NULL,NULL,NULL
5667,546,3,"0","270955-05","2020-07-04 07:56:27+02","2020-08-22 17:35:43+02",NULL,NULL,NULL
23857,546,3,"0","276133-09","2020-08-22 17:35:43+02","2021-06-29 18:32:24+02",NULL,NULL,NULL
5686,546,3,"1","261385-02","2019-10-24 08:57:22+02","2020-03-06 16:41:13+01",NULL,NULL,NULL
5679,546,3,"1","272514-10","2020-03-06 16:41:13+01","2020-08-22 17:20:59+02",NULL,NULL,NULL
